Detloc,Name,City,State
ADAMSMS,Adams County Correctional,Natchez,MS
ADLNTCA,Adelanto ICE Processing Center,Adelanto,CA
DENICDF,Aurora ICE Processing Center,Aurora,CO
BLBNATX,Blue Bonnet Detention Center,Anson,TX
WCCPBFL,Broward TC,Pompano Beach,FL
BTV,Buffalo Federal Detention Facility,Bativa,NY
CARDFVA,Caroline Detention Facility,Bowling Green,VA
JENADLA,Central Louisiana ICE Processing Center,Jena,LA
CIBOCNM,Cibola County Correctional Center,Milan,NM
CADESVI,Desert View Modified Community Correctional,Adelanto,CA
EPC,El Paso SPC,El Paso,TX
ELVDFTX,El Valle Detention Facility,Raymondville,TX
ELZICDF,Elizabeth Correctional Facility,Elizabeth,NJ
EAZ,Eloy Detention Center,Eloy,AZ
FRMVLVA,Farmville Detention Center,Farmville,VA
FLO,Florence SPC,Florence,AZ
FIPCMGA,Folkston ICE Detention Center,Folkston,GA
GLDSACA,Golden State Annex,McFarland,CA
HOUICDF,Houston Processing Center,Houston,TX
IRADFCA,Imperial Regional Detention Facility,Calexico,CA
KARNETX,Karnes County Immigration Processing Center,Karnes City,TX
KRO,Krome Service Processing Center,Miami,FL
LRDICDF,Laredo Processing Center,Laredo,TX
CACFMES,Mesa Verde ICE Processing Center,Bakersfield,CA
MTGPCTX,Montgomery ICE Processing Center,Conroe,TX
BOPMVC,Moshannon Valley Processing Center,Philipsburg,PA
CSCNWWA,Northwest Detention Center,Tacoma,WA
CCASDCA,Otay Mesa Detention Center,San Diego,CA
OTRPCNM,Otero County Processing Center,Chaparral,NM
PINEPLA,Pine Prairie ICE Processing Center,Pine Prairie,LA
PIC,Port Isabel SPC,Los Fresnos,TX
PRLDCTX,Prairieland ICE Processing Center,Alvarado,TX
BASILLA,South Louisiana Correctional Center,Basile,LA
STFRCTX,South Texas Family Residential,Dilley,TX
STCDFTX,South Texas ICE Processing Center,Pearsall,TX
STWRTGA,Stewart Detention Center,Lumpkin,GA
CCAHUTX,T Don Hutto Residential Center,Taylor,TX
TOORANM,Torrance County Detention Center,Estancia,NM
WEBDCTX,Webb County Detention Center,Laredo,TX