detention_facility,state,state_count
STEWART DETENTION CENTER,GA,1
SOUTH TEXAS ICE PROCESSING CENTER,TX,1
ADELANTO ICE PROCESSING CENTER,CA,1
ELOY FEDERAL CONTRACT FACILITY,AZ,1
TACOMA ICE PROCESSING CENTER (NORTHWEST DET CTR),WA,1
PORT ISABEL,TX,1
LA PALMA CORRECTIONAL CENTER,AZ,1
LASALLE ICE PROCESSING CENTER (JENA),LA,1
TALLAHATCHIE CO CORR FACILITY,MS,1
SOUTH TEXAS FAMILY RESIDENTIAL CENTER,TX,1
OTAY MESA DETENTION CENTER (SAN DIEGO CDF),CA,1
OTERO COUNTY PROCESSING CENTER,NM,1
MONTGOMERY ICE PROCESSING CENTER,TX,1
IAH SECURE ADULT DETENTION FACILITY (POLK),TX,1
HOUSTON CONTRACT DETENTION FACILITY,TX,1
DENVER CONTRACT DETENTION FACILITY,CO,1
PINE PRAIRIE ICE PROCESSING CENTER,LA,1
IRWIN COUNTY DETENTION CENTER,GA,1
JOE CORLEY ICE PROCESSING CENTER,TX,1
EL PASO SERVICE PROCESSING CENTER,TX,1
ESSEX COUNTY CORRECTIONAL FACILITY,NJ,1
KROME NORTH SERVICE PROCESSING CENTER,FL,1
MAIN - FOLKSTON IPC (D RAY JAMES),GA,1
YORK COUNTY PRISON,PA,1
EL VALLE DETENTION FACILITY,TX,1
IMMIGRATION CENTERS OF AMERICA FARMVILLE,VA,1
PRAIRIELAND DETENTION FACILITY,TX,1
IMPERIAL REGIONAL DETENTION FACILITY,CA,1
BROWARD TRANSITIONAL CENTER,FL,1
RIO GRANDE DETENTION CENTER,TX,1
BUFFALO (BATAVIA) SERVICE PROCESSING CENTER,NY,1
WEST TEXAS DETENTION FACILITY,TX,1
TORNILLO-GUADALUPE POE,TX,1
JACKSON PARISH CORRECTIONAL CENTER,LA,1
T DON HUTTO RESIDENTIAL CENTER,TX,1
LA PALMA CORRECTION CENTER - APSO,AZ,1
HUDSON COUNTY CORRECTIONAL CENTER,NJ,1
WINN CORRECTIONAL CENTER,LA,1
KARNES COUNTY CIVIL DETENTION CENTER,TX,1
GLADES COUNTY DETENTION CENTER,FL,1
FLORENCE SERVICE PROCESSING CENTER,AZ,1
BERGEN COUNTY JAIL,NJ,1
WEBB COUNTY DETENTION CENTER (CCA),TX,1
RICHWOOD CORRECTIONAL CENTER,LA,1
MESA VERDE ICE PROCESSING CENTER,CA,1
CIBOLA COUNTY CORRECTIONAL CENTER,NM,1
LAREDO PROCESSING CENTER,TX,1
"CCA, FLORENCE CORRECTIONAL CENTER",AZ,1
JOHNSON COUNTY CORRECTIONS CENTER,TX,1
THEO LACY FACILITY,CA,1
RIVER CORRECTIONAL CENTER,LA,1
SHERBURNE COUNTY JAIL,MN,1
PLYMOUTH COUNTY CORRECTIONAL FACILITY,MA,1
ELIZABETH CONTRACT DETENTION FACILITY,NJ,1
NORTHEAST OHIO CORRECTIONAL CTR (YOUNGSTOWN CDF),OH,1
ETOWAH COUNTY JAIL (ALABAMA),AL,1
MCHENRY COUNTY CORRECTIONAL FACILITY,IL,1
ANNEX - FOLKSTON IPC,GA,1
CAROLINE DETENTION FACILITY,VA,1
BAKER COUNTY SHERIFF'S OFFICE,FL,1
SAN LUIS REGIONAL DETENTION CENTER,AZ,1
ALEXANDRIA STAGING FACILITY,LA,1
BOSSIER PARISH COR. CENTER,LA,1
DENVER CONTRACT DETENTION FACILITY (CDF) II,CO,1
NEVADA SOUTHERN DETENTION CENTER,NV,1
FLORENCE STAGING FACILITY,AZ,1
HENDERSON DETENTION CENTER,NV,1
KARNES COUNTY RESIDENTIAL CENTER,TX,1
COASTAL BEND DETENTION FACILITY,TX,1
OKMULGEE COUNTY JAIL,OK,1
ROLLING PLAINS DETENTION CENTER,TX,1
PIKE COUNTY CORRECTIONAL FACILITY,PA,1
SOUTH LOUISIANA DETENTION CENTER,LA,1
BRISTOL COUNTY DETENTION CENTER,MA,1
CALHOUN COUNTY CORRECTIONAL CENTER,MI,1
YUBA COUNTY JAIL,CA,1
KENOSHA COUNTY DETENTION CENTER,WI,1
PULASKI COUNTY JAIL,IL,1
WORCESTER COUNTY JAIL,MD,1
KANKAKEE COUNTY JAIL (JEROME COMBS DET CTR),IL,1
SUFFOLK COUNTY HOUSE OF CORRECTIONS,MA,1
JAMES A. MUSICK FACILITY,CA,1
LIMESTONE COUNTY DETENTION CENTER,TX,1
BOONE COUNTY JAIL,KY,1
DODGE COUNTY JAIL,WI,1
TULSA COUNTY JAIL (DAVID L. MOSS JUSTICE CTR),OK,1
LA SALLE COUNTY REGIONAL DETENTION CENTER,TX,1
ADAMS COUNTY DET CENTER,MS,1
STRAFFORD COUNTY CORRECTIONS,NH,1
WAKULLA COUNTY JAIL,FL,1
VAL VERDE CORRECTIONAL FACILITY,TX,1
CHARLESTON COUNTY DETENTION CENTER,SC,1
HALL COUNTY DEPARTMENT OF CORRECTIONS,NE,1
MONROE COUNTY DETENTION CENTER,FL,1
CATAHOULA CORRECTIONAL CENTER,LA,1
HOWARD COUNTY DETENTION CENTER,MD,1
EAST HIDALGO DETENTION CENTER,TX,1
CHASE COUNTY DETENTION FACILITY,KS,1
ROBERT A. DEYTON DETENTION FACILITY,GA,1
FREEBORN COUNTY ADULT DETENTION CENTER,MN,1
SAINT CLAIR COUNTY JAIL,MI,1
MONROE COUNTY DETENTION-DORM,MI,1
WYATT DETENTION CENTER,RI,1
ALLEN PARISH PUBLIC SAFETY COMPLEX,LA,1
EDEN DETENTION CENTER,TX,1
GEAUGA COUNTY JAIL,OH,1
CLINTON COUNTY CORRECTIONAL FACILITY,PA,1
HARDIN COUNTY JAIL,IA,1
MORGAN COUNTY ADULT DETENTION CENTER,MO,1
SENECA COUNTY JAIL,OH,1
KANDIYOHI COUNTY JAIL,MN,1
VIRGINIA PENINSULA REGIONAL JAIL,VA,1
CLAY COUNTY JAIL,IN,1
MARSHALL COUNTY JAIL,IA,1
CAMBRIA COUNTY JAIL,PA,1
FREDERICK COUNTY DETENTION CENTER,MD,1
ANNE ARUNDEL COUNTY ORDNANCE ROAD CORRECTIONAL CTR,MD,1
CACHE COUNTY JAIL,UT,1
ALBANY COUNTY JAIL,NY,1
BROOKS COUNTY DETENTION CENTER,TX,1
MORROW COUNTY CORRECTIONAL FACILITY,OH,1
ALAMANCE COUNTY DETENTION FACILITY,NC,1
NATCHITOCHES PARISH DET. CENTER,LA,1
FRANKLIN COUNTY HOUSE OF CORRECTION,MA,1
TELLER COUNTY JAIL,CO,1
POLK COUNTY JAIL,IA,1
CHIPPEWA COUNTY SSM,MI,1
TORRANCE COUNTY DETENTION FACILITY,NM,1
DOUGLAS COUNTY DEPARTMENT OF CORRECTIONS,NE,1
HONOLULU FEDERAL DETENTION CENTER,HI,1
DEKALB COUNTY DETENTION CENTER,AL,1
BERKS COUNTY FAMILY SHELTER,PA,1
LASALLE CORR CTR OLLA,LA,1
NORTHERN OREGON CORRECTIONAL FACILITY,OR,1
CALDWELL COUNTY DETENTION CENTER,MO,1
KAY COUNTY JUSTICE FACILITY,OK,1
MONTGOMERY COUNTY JAIL,MO,1
CARVER COUNTY JAIL,MN,1
CASS COUNTY JAIL,NE,1
CHRISTIAN COUNTY JAIL,MO,1
WASHOE COUNTY JAIL,NV,1
PLATTE COUNTY DETENTION CENTER,MO,1
BURNET COUNTY JAIL,TX,1
CBP SAN YSIDRO POE,CA,1
COLLIER COUNTY NAPLES JAIL CENTER,FL,1
LINN COUNTY JAIL,IA,1
DEPARTMENT OF CORRECTIONS HAGATNA,GU,1
"NYE COUNTY DETENTION CENTER, SOUTHERN (PAHRUMP)",NV,1
SAINT TAMMANY PARISH JAIL,LA,1
POTTAWATTAMIE COUNTY JAIL,IA,1
BEDFORD MUNICIPAL DETENTION CENTER,TX,1
DALLAS COUNTY JAIL - LEW STERRETT JUSTICE CENTER,TX,1
EULESS CITY JAIL,TX,1
SHAWNEE COUNTY DEPARTMENT OF CORRECTIONS,KS,1
CLINTON COUNTY JAIL,NY,1
DAVIDSON COUNTY SHERIFF,TN,1
ELMORE COUNTY JAIL,ID,1
JEFFERSON COUNTY JAIL,ID,1
LINCOLN COUNTY DETENTION CENTER,MO,1
GRAND FORKS COUNTY CORRECTIONAL FACILITY,ND,1
SOUTH CENTRAL REGIONAL JAIL,WV,1
PINELLAS COUNTY JAIL,FL,1
MADISON COUNTY JAIL,MS,1
LA PAZ COUNTY ADULT DETENTION FACILITY,AZ,1
YAKIMA COUNTY DEPARTMENT OF CORRECTIONS,WA,1
BALDWIN COUNTY CORRECTIONAL CENTER,AL,1
BEAVER COUNTY JAIL,PA,1
CIBOLA COUNTY DETENTION CENTER,NM,1
CHAUTAUQUA COUNTY JAIL,NY,1
COWLITZ COUNTY JUVENILE,WA,1
DAKOTA COUNTY JAIL,NE,1
GUAYNABO MDC (SAN JUAN),PR,1
KNOX COUNTY DETENTION FACILITY,TN,1
MINICASSIA DETENTION CENTER,ID,1
LEHIGH COUNTY JAIL (PENNSYLVANIA),PA,1
LEXINGTON COUNTY JAIL,SC,1
DELAWARE CO JAIL (GEORGE W. HILL),PA,1
WASHINGTON COUNTY JAIL (PURGATORY CORRECTIONAL FAC,UT,1
WESTERN TENNESSEE DETENTION FACILITY,TN,1
FAYETTE COUNTY DETENTION CENTER,KY,1
RENSSELAER COUNTY CORRECTIONAL FACILITY,NY,1
COBB COUNTY JAIL,GA,1
WASHINGTON COUNTY DETENTION CENTER,AR,1
SAN JUAN STAGING,PR,1
OLDHAM COUNTY JAIL,KY,1
NOBLES COUNTY JAIL,MN,1
MONTGOMERY CITY JAIL,AL,1
RANDALL COUNTY JAIL,TX,1
CASCADE COUNTY JAIL (MONTANA),MT,1
GARVIN COUNTY DETENTION CENTER,OK,1
ROANOKE CITY JAIL,VA,1
NORTHERN OREGON JUVENILE DETENTION,OR,1
LONOKE POLICE DEPARTMENT,AR,1
STORY COUNTY JAIL,IA,1
WHITFIELD COUNTY JAIL,GA,1
KITTITAS COUNTY JAIL,WA,1
WAKE COUNTY SHERIFF DEPARTMENT,NC,1
CBP CHULA VISTA BPS,CA,1
NEW HANOVER COUNTY JAIL,NC,1
RED ROOF INN,WA,1
ABRAXAS ACADEMY DETENTION CENTER,PA,1
FORSYTH COUNTY JAIL,NC,1
YANKTON COUNTY JAIL,SD,1
JACK HARWELL DETENTION CENTER,TX,1
CUMBERLAND COUNTY JAIL,ME,1
CENTRAL TEXAS DETENTION FACILITY,TX,1
CHAVEZ DETENTION CENTER,NM,1
SAIPAN DEPARTMENT OF CORRECTIONS (SUSUPE),MP,1
BLUEBONNET DETENTION FACILITY,TX,1
JOE CORLEY PROCESSING CTR,TX,1
GOLDEN STATE ANNEX,CA,1
MARION COUNTY JAIL,IN,1
SUNNY GLEN CLD HOME NDR CTR,TX,1
SALT LAKE COUNTY METRO JAIL,UT,1
HANCOCK CO PUB SFTY CPLX,MS,1
PLATTE COUNTY JAIL,WY,1
ALLEN COUNTY JAIL,IN,1
RIO GRANDE VALLEY STAGING,TX,1
OGLE COUNTY JAIL,IL,1
HENDERSON COUNTY JAIL,TX,1
PICKENS COUNTY DET CTR,AL,1
ERIE COUNTY JAIL,PA,1
RIO GRANDE COUNTY JAIL,CO,1
HOLIDAY INN EXP SAN ANTONIO,TX,1
KARNES COUNTY CORRECTIONAL CENTER,TX,1
SALINE COUNTY JAIL,NE,1
TEX HEALTH HUGULEY HOSP,TX,1
FOLKSTON MAIN IPC,GA,1
T. DON HUTTO DETENTION CENTER,TX,1
HOLIDAY INN EXPRESS-CASA DE LA LUZ,AZ,1
DESERT VIEW,CA,1
LA QUINTA-WYNDHAM-CASA DE PAZ,TX,1
SUITES ON SCOTTSDALE-CASA DE ALEGRÍA,AZ,1
BEST WESTERN-CASA DE ESTRELLA,TX,1
COMFORT SUITES-CASA CONSUELO,TX,1
WINGATE-WYNDHAM CASA ESPERANZA,AZ,1
DORCHESTER COUNTY DETENTION CENTER,MD,1
EAST MESA DETENTION FACILITY,CA,1
LA QUINTA INN BY WYNDHAM SNA,TX,1
RIVERSIDE COUNTY SHERIFF,CA,1
BERKS COUNTY RESIDENTIAL CENTER1,PA,1
BRADFORD COUNTY JAIL,FL,1
CABARRUS COUNTY JAIL,NC,1
GRAYSON COUNTY JAIL,KY,1
KARNES COUNTY RESIDENTIAL CENTER2,TX,1
LEVY COUNTY JAIL,FL,1
MIDLAND COUNTY DETENTION CENTER,TX,1
MOSHANNON VALLEY CORRECTIONAL,PA,1
SOUTH TEXAS FAMILY RESIDENTIAL CENTER3,TX,1
TRUSTED ADULT KARNES FSC,TX,1
TRUSTED ADULT SOUTH TEX DILLEY FSC,TX,1
NA,NA,1
[1] (BCORCPA) BERKS COUNTY RESIDENTIAL CENTER houses single adults and no longer house family units as of 11/27/21.,NA,1
[2] (KRNRCTX) KARNES COUNTY RESIDENTIAL CENTER houses single adults and no longer house family units as of 11/10/21.,NA,1
[3] (STFRCTX) SOUTH TEXAS FAMILY RESIDENTIAL CENTER houses single adults and no longer house family units as of 12/11/21.,NA,1
*The info. in this report is subject to change,NA,1
SOUTH TEXAS FAM RESIDENTIAL CENTER,TX,1
PORT ISABEL SPC,TX,1
CENTRAL LOUISIANA ICE PROCESSING CENTER (CLIPC),LA,1
KARNES COUNTY IMMIGRATION PROCESSING CENTER,TX,1
T DON HUTTO DETENTION CENTER,TX,1
DESERT VIEW ANNEX,CA,1
FOLKSTON ANNEX IPC,GA,1
ICA - FARMVILLE,VA,1
CHASE COUNTY JAIL,KS,1
KAY CO JUSTICE FACILITY,OK,1
NORTHWEST STATE CORRECTIONAL CENTER,VT,1
PENNINGTON COUNTY JAIL (SOUTH DAKOTA),SD,1
FLOYD COUNTY JAIL,GA,1
GASTON COUNTY JAIL,NC,1
OTERO COUNTY DETENTION,NM,1
DORCHESTER CO DET CTR,SC,1
[1] (STFRCTX) SOUTH TEXAS FAMILY RESIDENTIAL CENTER houses single adults and no longer house family units as of 12/11/21.,NA,1
[2] (KRNRCTX) KARNES COUNTY IMMIGRATION PROCESSING CENTER houses single adults and no longer house family units as of 11/10/21.,NA,1
(*) Denotes no inspection completed as of the date of the report,NA,1
ODO inspections are conducted on a semi-annual basis. The reportable inspections are listed.,NA,1
ODO Inspection End Date is the date the final report was issued.,NA,1
BAKER COUNTY SHERIFF DEPT.,FL,1
BUFFALO SERVICE PROCESSING CENTER,NY,1
CLAY COUNTY JUSTICE CENTER,IN,1
EDEN DETENTION CTR,TX,1
HANCOCK COUNTY PUBLIC SAFETY COMPLEX,MS,1
HENDERSON DETENTION,NV,1
MOSHANNON VALLEY PROCESSING CENTER,PA,1
NORTHWEST ICE PROCSESING CENTER,WA,1
NYE COUNTY SHERIFF-PAHRUMP,NV,1
ORANGE COUNTY JAIL (FL),FL,1
ORANGE COUNTY JAIL (NY),NY,1
OTAY MESA DETENTION CENTER,CA,1
PIKE COUNTY JAIL,PA,1
PRAIRIELAND DETENTION CENTER,TX,1
PRINCE EDWARD COUNTY (FARMVILLE),VA,1
ROBERT A DEYTON DETENTION FACILITY,GA,1
SEBASTIAN COUNTY DETENTION CENTER,AR,1
SOUTH LOUISIANA ICE PROCESSING CENTER,LA,1
ST. CLAIR COUNTY JAIL,MI,1
"TORRANCE/ESTANCIA, NM",NM,1
LUBBOCK COUNTY DETENTION CENTER,TX,1
NORTHWEST ICE PROCESSSING CENTER,WA,1
SWEETWATER COUNTY JAIL,WY,1
CHITTENDEN REGIONAL CORRECTIONAL FACILITY,VT,1
ClINTON COUNTY CORRECTIONAL,PA,1
BROWARD COUNTY JAIL,FL,1
ATLANTA US PEN,GA,1
FDC PHILADELPHIA,PA,1
JTF CAMP SIX,FL,1
LEAVENWORTH US PENITENTIARY,KS,1
MIAMI FEDERAL DETENTION,FL,1
MIGRANT OPS CENTER MAIN A,FL,1
GREENE COUNTY JAIL,MO,1
NASSAU COUNTY CORRECTIONAL CENTER,NY,1
NORTHEAST OHIO CORRECTIONAL CENTER,OH,1
ALLEGANY COUNTY JAIL,NY,1
BERLIN FED. CORR. INST.,NH,1
CIMMARRON CORR FACILITY,OK,1
EL PASO SOFT SIDED FACILI,TX,1
LINCOLN COUNTY JAIL,NE,1
MIAMI STAGING FACILITY,FL,1
STE. GENEVIEVE COUNTY SHERIFF/JAIL,MO,1
TWO BRIDGES REGIONAL JAIL,ME,1
BROOME COUNTY JAIL,NY,1
CAMPBELL CO DET CTR,KY,1
CORR. CTR OF NORTHWEST OHIO,OH,1
EL PASO SOFT SIDED FACILITY,TX,1
MILLER COUNTY JAIL,AR,1
WOODBURY COUNTY JAIL,IA,1
DILLEY IMMIGRATION PROCESSING CENTER,TX,1
PHELPS COUNTY JAIL (MO),MO,1
PHELPS COUNTY JAIL (NE),NE,1
CLARK COUNTY JAIL (IN),IN,1
LAUREL COUNTY SHERIFFS JAIL,KY,1
MAHONING COUNTY JAIL,OH,1
MUSCATINE COUNTY JAIL,IA,1
Pickens County,AL,1
DELANEY HALL DETENTION FACILITY,NJ,1
HOPKINS COUNTY JAIL,KY,1
PUTNAM COUNTY SHERIFF,TN,1
WALTON COUNTY JAIL,FL,1
FINNEY COUNTY JAIL,KS,1
KENTON COUNTY JAIL,KY,1
LINCOLN COUNTY SHERIFF'S,MO,1
ST. JOHN'S COUNTY JAIL,FL,1
